home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Sporting CP,Partizan,1955-09-04,3,3,F,UEFA CL,Sporting CP (Portugal),Partizan (Serbia),portugal,serbia,PT,RS,Europe,Europe,Europe,international
Mtk Budapest,RSC Anderlecht,1955-09-07,6,3,F,UEFA CL,Mtk Budapest (Hungary),RSC Anderlecht (Belgium),hungary,belgium,HU,BE,Europe,Europe,Europe,international
Servette Geneve,Real Madrid,1955-09-08,0,2,F,UEFA CL,Servette Geneve (Switzerland),Real Madrid (Spain),switzerland,spain,CH,ES,Europe,Europe,Europe,international
Rot Weiss Essen,Hibernian FC,1955-09-14,0,4,F,UEFA CL,Rot Weiss Essen (Germany),Hibernian FC (Scotland),germany,scotland,DE,SCO,Europe,Europe,Europe,international
Djurgardens If,Gwardia Warszawa,1955-09-20,0,0,F,UEFA CL,Djurgardens If (Sweden),Gwardia Warszawa (Poland),sweden,poland,SE,PL,Europe,Europe,Europe,international
Aarhus Gf,Stade Reims,1955-09-21,0,2,F,UEFA CL,Aarhus Gf (Denmark),Stade Reims (France),denmark,france,DK,FR,Europe,Europe,Europe,international
Rapid Wien,PSV Eindhoven,1955-09-21,6,1,F,UEFA CL,Rapid Wien (Austria),PSV Eindhoven (Netherlands),austria,netherlands,AT,NL,Europe,Europe,Europe,international
Gwardia Warszawa,Djurgardens If,1955-10-12,1,4,F,UEFA CL,Gwardia Warszawa (Poland),Djurgardens If (Sweden),poland,sweden,PL,SE,Europe,Europe,Europe,international
Hibernian FC,Rot Weiss Essen,1955-10-12,1,1,F,UEFA CL,Hibernian FC (Scotland),Rot Weiss Essen (Germany),scotland,germany,SCO,DE,Europe,Europe,Europe,international
Real Madrid,Servette Geneve,1955-10-12,5,0,F,UEFA CL,Real Madrid (Spain),Servette Geneve (Switzerland),spain,switzerland,ES,CH,Europe,Europe,Europe,international
Partizan,Sporting CP,1955-10-12,5,2,F,UEFA CL,Partizan (Serbia),Sporting CP (Portugal),serbia,portugal,RS,PT,Europe,Europe,Europe,international
RSC Anderlecht,Mtk Budapest,1955-10-19,1,4,F,UEFA CL,RSC Anderlecht (Belgium),Mtk Budapest (Hungary),belgium,hungary,BE,HU,Europe,Europe,Europe,international
Stade Reims,Aarhus Gf,1955-10-26,2,2,F,UEFA CL,Stade Reims (France),Aarhus Gf (Denmark),france,denmark,FR,DK,Europe,Europe,Europe,international
AC Milan,1 FC Saarbruecken,1955-11-01,3,4,F,UEFA CL,AC Milan (Italy),1 FC Saarbruecken (Germany),italy,germany,IT,DE,Europe,Europe,Europe,international
PSV Eindhoven,Rapid Wien,1955-11-01,1,0,F,UEFA CL,PSV Eindhoven (Netherlands),Rapid Wien (Austria),netherlands,austria,NL,AT,Europe,Europe,Europe,international
1 FC Saarbruecken,AC Milan,1955-11-23,1,4,F,UEFA CL,1 FC Saarbruecken (Germany),AC Milan (Italy),germany,italy,DE,IT,Europe,Europe,Europe,international
Djurgardens If,Hibernian FC,1955-11-23,1,3,F,UEFA CL,Djurgardens If (Sweden),Hibernian FC (Scotland),sweden,scotland,SE,SCO,Europe,Europe,Europe,international
Hibernian FC,Djurgardens If,1955-11-28,1,0,F,UEFA CL,Hibernian FC (Scotland),Djurgardens If (Sweden),scotland,sweden,SCO,SE,Europe,Europe,Europe,international
Stade Reims,Mtk Budapest,1955-12-14,4,2,F,UEFA CL,Stade Reims (France),Mtk Budapest (Hungary),france,hungary,FR,HU,Europe,Europe,Europe,international
Real Madrid,Partizan,1955-12-25,4,0,F,UEFA CL,Real Madrid (Spain),Partizan (Serbia),spain,serbia,ES,RS,Europe,Europe,Europe,international
Mtk Budapest,Stade Reims,1955-12-28,4,4,F,UEFA CL,Mtk Budapest (Hungary),Stade Reims (France),hungary,france,HU,FR,Europe,Europe,Europe,international
Rapid Wien,AC Milan,1956-01-18,1,1,F,UEFA CL,Rapid Wien (Austria),AC Milan (Italy),austria,italy,AT,IT,Europe,Europe,Europe,international
