home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
1 FC Frankfurt Oder,Ruda Hvzda Brno,1960-07-31,2,1,F,UEFA CW,1 FC Frankfurt Oder (Germany),Ruda Hvzda Brno (Czech Republic),germany,czech-republic,DE,CZ,Europe,Europe,Europe,international
Ruda Hvzda Brno,1 FC Frankfurt Oder,1960-08-11,2,0,F,UEFA CW,Ruda Hvzda Brno (Czech Republic),1 FC Frankfurt Oder (Germany),czech-republic,germany,CZ,DE,Europe,Europe,Europe,international
Rangers FC,Ferencvarosi Tc,1960-09-28,4,2,F,UEFA CW,Rangers FC (Scotland),Ferencvarosi Tc (Hungary),scotland,hungary,SCO,HU,Europe,Europe,Europe,international
Ruda Hvzda Brno,Dinamo Zagreb,1960-09-28,0,0,F,UEFA CW,Ruda Hvzda Brno (Czech Republic),Dinamo Zagreb (Croatia),czech-republic,croatia,CZ,HR,Europe,Europe,Europe,international
Ferencvarosi Tc,Rangers FC,1960-10-12,2,1,F,UEFA CW,Ferencvarosi Tc (Hungary),Rangers FC (Scotland),hungary,scotland,HU,SCO,Europe,Europe,Europe,international
Austria Wien,Wolverhampton Wanderers,1960-10-12,2,0,F,UEFA CW,Austria Wien (Austria),Wolverhampton Wanderers (England),austria,england,AT,ENG,Europe,Europe,Europe,international
Dinamo Zagreb,Ruda Hvzda Brno,1960-10-26,2,0,F,UEFA CW,Dinamo Zagreb (Croatia),Ruda Hvzda Brno (Czech Republic),croatia,czech-republic,HR,CZ,Europe,Europe,Europe,international
Bor Moenchengladbach,Rangers FC,1960-11-15,0,3,F,UEFA CW,Bor Moenchengladbach (Germany),Rangers FC (Scotland),germany,scotland,DE,SCO,Europe,Europe,Europe,international
FC Luzern,Acf Fiorentina,1960-11-23,0,3,F,UEFA CW,FC Luzern (Switzerland),Acf Fiorentina (Italy),switzerland,italy,CH,IT,Europe,Europe,Europe,international
Wolverhampton Wanderers,Austria Wien,1960-11-30,5,0,F,UEFA CW,Wolverhampton Wanderers (England),Austria Wien (Austria),england,austria,ENG,AT,Europe,Europe,Europe,international
Rangers FC,Bor Moenchengladbach,1960-11-30,8,0,F,UEFA CW,Rangers FC (Scotland),Bor Moenchengladbach (Germany),scotland,germany,SCO,DE,Europe,Europe,Europe,international
Acf Fiorentina,FC Luzern,1960-12-28,6,2,F,UEFA CW,Acf Fiorentina (Italy),FC Luzern (Switzerland),italy,switzerland,IT,CH,Europe,Europe,Europe,international
Acf Fiorentina,Dinamo Zagreb,1961-03-22,3,0,F,UEFA CW,Acf Fiorentina (Italy),Dinamo Zagreb (Croatia),italy,croatia,IT,HR,Europe,Europe,Europe,international
Rangers FC,Wolverhampton Wanderers,1961-03-29,2,0,F,UEFA CW,Rangers FC (Scotland),Wolverhampton Wanderers (England),scotland,england,SCO,ENG,Europe,Europe,Europe,international
Dinamo Zagreb,Acf Fiorentina,1961-04-12,2,1,F,UEFA CW,Dinamo Zagreb (Croatia),Acf Fiorentina (Italy),croatia,italy,HR,IT,Europe,Europe,Europe,international
Wolverhampton Wanderers,Rangers FC,1961-04-19,1,1,F,UEFA CW,Wolverhampton Wanderers (England),Rangers FC (Scotland),england,scotland,ENG,SCO,Europe,Europe,Europe,international
Rangers FC,Acf Fiorentina,1961-05-17,0,2,F,UEFA CW,Rangers FC (Scotland),Acf Fiorentina (Italy),scotland,italy,SCO,IT,Europe,Europe,Europe,international
Acf Fiorentina,Rangers FC,1961-05-27,2,1,F,UEFA CW,Acf Fiorentina (Italy),Rangers FC (Scotland),italy,scotland,IT,SCO,Europe,Europe,Europe,international
FC La Chaux De Fonds,Leixoes SC,1961-09-07,6,2,F,UEFA CW,FC La Chaux De Fonds (Switzerland),Leixoes SC (Portugal),switzerland,portugal,CH,PT,Europe,Europe,Europe,international
Dunfermline Athletic,St Patricks Athletic,1961-09-12,4,1,F,UEFA CW,Dunfermline Athletic (Scotland),St Patricks Athletic (Ireland Republic),scotland,ireland-republic,SCO,IRL,Europe,Europe,Europe,international
Rapid Wien,Spartak Varna,1961-09-13,0,0,F,UEFA CW,Rapid Wien (Austria),Spartak Varna (Bulgaria),austria,bulgaria,AT,BG,Europe,Europe,Europe,international
Glenavon FC,Leicester City,1961-09-13,1,4,F,UEFA CW,Glenavon FC (Northern Ireland),Leicester City (England),northern-ireland,england,NIR,ENG,Europe,Europe,Europe,international
CS Sedan,Atletico Madrid,1961-09-13,2,3,F,UEFA CW,CS Sedan (France),Atletico Madrid (Spain),france,spain,FR,ES,Europe,Europe,Europe,international
Floriana FC,Ujpest FC,1961-09-17,2,5,F,UEFA CW,Floriana FC (Malta),Ujpest FC (Hungary),malta,hungary,MT,HU,Europe,Europe,Europe,international
St Patricks Athletic,Dunfermline Athletic,1961-09-27,0,4,F,UEFA CW,St Patricks Athletic (Ireland Republic),Dunfermline Athletic (Scotland),ireland-republic,scotland,IRL,SCO,Europe,Europe,Europe,international
Spartak Varna,Rapid Wien,1961-09-27,2,5,F,UEFA CW,Spartak Varna (Bulgaria),Rapid Wien (Austria),bulgaria,austria,BG,AT,Europe,Europe,Europe,international
Leicester City,Glenavon FC,1961-09-27,3,1,F,UEFA CW,Leicester City (England),Glenavon FC (Northern Ireland),england,northern-ireland,ENG,NIR,Europe,Europe,Europe,international
Atletico Madrid,CS Sedan,1961-09-27,4,1,F,UEFA CW,Atletico Madrid (Spain),CS Sedan (France),spain,france,ES,FR,Europe,Europe,Europe,international
Ujpest FC,Floriana FC,1961-09-27,10,2,F,UEFA CW,Ujpest FC (Hungary),Floriana FC (Malta),hungary,malta,HU,MT,Europe,Europe,Europe,international
Leixoes SC,FC La Chaux De Fonds,1961-10-05,5,0,F,UEFA CW,Leixoes SC (Portugal),FC La Chaux De Fonds (Switzerland),portugal,switzerland,PT,CH,Europe,Europe,Europe,international
Swansea City,FC Carl Zeiss Jena,1961-10-16,2,2,F,UEFA CW,Swansea City (Wales),FC Carl Zeiss Jena (Germany),wales,germany,WAL,DE,Europe,Europe,Europe,international
FC Carl Zeiss Jena,Swansea City,1961-10-18,5,1,F,UEFA CW,FC Carl Zeiss Jena (Germany),Swansea City (Wales),germany,wales,DE,WAL,Europe,Europe,Europe,international
Werder Bremen,Aarhus Gf,1961-10-25,2,0,F,UEFA CW,Werder Bremen (Germany),Aarhus Gf (Denmark),germany,denmark,DE,DK,Europe,Europe,Europe,international
Dunfermline Athletic,Vardar SKopje,1961-10-25,5,0,F,UEFA CW,Dunfermline Athletic (Scotland),Vardar SKopje (Macedonia Fyr),scotland,macedonia-fyr,SCO,MAC,Europe,Europe,Europe,international
Leicester City,Atletico Madrid,1961-10-25,1,1,F,UEFA CW,Leicester City (England),Atletico Madrid (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international
Acf Fiorentina,Rapid Wien,1961-10-25,3,1,F,UEFA CW,Acf Fiorentina (Italy),Rapid Wien (Austria),italy,austria,IT,AT,Europe,Europe,Europe,international
Aarhus Gf,Werder Bremen,1961-11-01,2,3,F,UEFA CW,Aarhus Gf (Denmark),Werder Bremen (Germany),denmark,germany,DK,DE,Europe,Europe,Europe,international
AFC Ajax,Ujpest FC,1961-11-02,2,1,F,UEFA CW,AFC Ajax (Netherlands),Ujpest FC (Hungary),netherlands,hungary,NL,HU,Europe,Europe,Europe,international
Vardar SKopje,Dunfermline Athletic,1961-11-08,2,0,F,UEFA CW,Vardar SKopje (Macedonia Fyr),Dunfermline Athletic (Scotland),macedonia-fyr,scotland,MAC,SCO,Europe,Europe,Europe,international
Atletico Madrid,Leicester City,1961-11-15,2,0,F,UEFA CW,Atletico Madrid (Spain),Leicester City (England),spain,england,ES,ENG,Europe,Europe,Europe,international
Olympiakos Piraeus,MSk Zilina,1961-11-22,2,3,F,UEFA CW,Olympiakos Piraeus (Greece),MSk Zilina (Slovakia),greece,slovakia,GR,SK,Europe,Europe,Europe,international
Rapid Wien,Acf Fiorentina,1961-11-22,2,6,F,UEFA CW,Rapid Wien (Austria),Acf Fiorentina (Italy),austria,italy,AT,IT,Europe,Europe,Europe,international
Leixoes SC,Progresul Bucuresti,1961-11-23,1,1,F,UEFA CW,Leixoes SC (Portugal),Progresul Bucuresti (Romania),portugal,romania,PT,RO,Europe,Europe,Europe,international
