home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Auswahl Basel,London Xi,1955-06-04,0,5,F,UEFA EL,Auswahl Basel (Switzerland),London Xi (England),switzerland,england,CH,ENG,Europe,Europe,Europe,international
London Xi,Auswahl Frankfurt,1955-10-26,3,2,F,UEFA EL,London Xi (England),Auswahl Frankfurt (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international
FC Barcelona,Staevnet Koebenhavn,1955-12-25,6,2,F,UEFA EL,FC Barcelona (Spain),Staevnet Koebenhavn (Denmark),spain,denmark,ES,DK,Europe,Europe,Europe,international
Leipziger Auswahl,FC Lausanne Sport,1956-03-06,6,3,F,UEFA EL,Leipziger Auswahl (Germany),FC Lausanne Sport (Switzerland),germany,switzerland,DE,CH,Europe,Europe,Europe,international
Staevnet Koebenhavn,FC Barcelona,1956-04-26,1,1,F,UEFA EL,Staevnet Koebenhavn (Denmark),FC Barcelona (Spain),denmark,spain,DK,ES,Europe,Europe,Europe,international
London Xi,Auswahl Basel,1956-05-04,1,0,F,UEFA EL,London Xi (England),Auswahl Basel (Switzerland),england,switzerland,ENG,CH,Europe,Europe,Europe,international
Inter,Birmingham City,1956-05-15,0,0,F,UEFA EL,Inter (Italy),Birmingham City (England),italy,england,IT,ENG,Europe,Europe,Europe,international
Zagreb Xi,Birmingham City,1956-05-22,0,1,F,UEFA EL,Zagreb Xi (Croatia),Birmingham City (England),croatia,england,HR,ENG,Europe,Europe,Europe,international
Zagreb Xi,Inter,1956-06-06,0,1,F,UEFA EL,Zagreb Xi (Croatia),Inter (Italy),croatia,italy,HR,IT,Europe,Europe,Europe,international
Auswahl Frankfurt,Auswahl Basel,1956-06-20,5,1,F,UEFA EL,Auswahl Frankfurt (Germany),Auswahl Basel (Switzerland),germany,switzerland,DE,CH,Europe,Europe,Europe,international
FC Lausanne Sport,Leipziger Auswahl,1956-10-21,7,3,F,UEFA EL,FC Lausanne Sport (Switzerland),Leipziger Auswahl (Germany),switzerland,germany,CH,DE,Europe,Europe,Europe,international
Birmingham City,Zagreb Xi,1956-12-03,3,0,F,UEFA EL,Birmingham City (England),Zagreb Xi (Croatia),england,croatia,ENG,HR,Europe,Europe,Europe,international
Inter,Zagreb Xi,1957-03-19,4,0,F,UEFA EL,Inter (Italy),Zagreb Xi (Croatia),italy,croatia,IT,HR,Europe,Europe,Europe,international
Auswahl Frankfurt,London Xi,1957-03-27,1,0,F,UEFA EL,Auswahl Frankfurt (Germany),London Xi (England),germany,england,DE,ENG,Europe,Europe,Europe,international
Birmingham City,Inter,1957-04-07,2,1,F,UEFA EL,Birmingham City (England),Inter (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international
Auswahl Basel,Auswahl Frankfurt,1957-06-12,6,2,F,UEFA EL,Auswahl Basel (Switzerland),Auswahl Frankfurt (Germany),switzerland,germany,CH,DE,Europe,Europe,Europe,international
FC Lausanne Sport,London Xi,1957-09-16,2,1,F,UEFA EL,FC Lausanne Sport (Switzerland),London Xi (England),switzerland,england,CH,ENG,Europe,Europe,Europe,international
Birmingham City,FC Barcelona,1957-10-23,4,3,F,UEFA EL,Birmingham City (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international
London Xi,FC Lausanne Sport,1957-10-23,2,0,F,UEFA EL,London Xi (England),FC Lausanne Sport (Switzerland),england,switzerland,ENG,CH,Europe,Europe,Europe,international
FC Barcelona,Birmingham City,1957-11-13,1,0,F,UEFA EL,FC Barcelona (Spain),Birmingham City (England),spain,england,ES,ENG,Europe,Europe,Europe,international
FC Barcelona,Birmingham City,1957-11-26,2,1,F,UEFA EL,FC Barcelona (Spain),Birmingham City (England),spain,england,ES,ENG,Europe,Europe,Europe,international
London Xi,FC Barcelona,1958-03-05,2,2,F,UEFA EL,London Xi (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international
FC Barcelona,London Xi,1958-05-01,6,0,F,UEFA EL,FC Barcelona (Spain),London Xi (England),spain,england,ES,ENG,Europe,Europe,Europe,international
Beograd Xi,FC Lausanne Sport,1958-09-24,6,1,F,UEFA EL,Beograd Xi (Serbia),FC Lausanne Sport (Switzerland),serbia,switzerland,RS,CH,Europe,Europe,Europe,international
Staevnet Koebenhavn,Chelsea FC,1958-09-30,1,3,F,UEFA EL,Staevnet Koebenhavn (Denmark),Chelsea FC (England),denmark,england,DK,ENG,Europe,Europe,Europe,international
Auswahl Koeln,Birmingham City,1958-10-14,2,2,F,UEFA EL,Auswahl Koeln (Germany),Birmingham City (England),germany,england,DE,ENG,Europe,Europe,Europe,international
FC Lausanne Sport,Beograd Xi,1958-10-22,3,5,F,UEFA EL,FC Lausanne Sport (Switzerland),Beograd Xi (Serbia),switzerland,serbia,CH,RS,Europe,Europe,Europe,international
Union St Gilloise,Leipziger Auswahl,1958-10-29,6,1,F,UEFA EL,Union St Gilloise (Belgium),Leipziger Auswahl (Germany),belgium,germany,BE,DE,Europe,Europe,Europe,international
Chelsea FC,Staevnet Koebenhavn,1958-11-04,4,1,F,UEFA EL,Chelsea FC (England),Staevnet Koebenhavn (Denmark),england,denmark,ENG,DK,Europe,Europe,Europe,international
Hannover 96,As Roma,1958-11-09,1,3,F,UEFA EL,Hannover 96 (Germany),As Roma (Italy),germany,italy,DE,IT,Europe,Europe,Europe,international
Birmingham City,Auswahl Koeln,1958-11-11,2,0,F,UEFA EL,Birmingham City (England),Auswahl Koeln (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international
Auswahl Basel,FC Barcelona,1958-11-12,1,2,F,UEFA EL,Auswahl Basel (Switzerland),FC Barcelona (Spain),switzerland,spain,CH,ES,Europe,Europe,Europe,international
Zagreb Xi,Ujpest FC,1958-11-26,4,2,F,UEFA EL,Zagreb Xi (Croatia),Ujpest FC (Hungary),croatia,hungary,HR,HU,Europe,Europe,Europe,international
Ujpest FC,Zagreb Xi,1958-12-03,1,0,F,UEFA EL,Ujpest FC (Hungary),Zagreb Xi (Croatia),hungary,croatia,HU,HR,Europe,Europe,Europe,international
Inter,Olympique Lyon,1958-12-10,7,0,F,UEFA EL,Inter (Italy),Olympique Lyon (France),italy,france,IT,FR,Europe,Europe,Europe,international
FC Barcelona,Auswahl Basel,1959-01-06,5,2,F,UEFA EL,FC Barcelona (Spain),Auswahl Basel (Switzerland),spain,switzerland,ES,CH,Europe,Europe,Europe,international
As Roma,Hannover 96,1959-01-07,1,1,F,UEFA EL,As Roma (Italy),Hannover 96 (Germany),italy,germany,IT,DE,Europe,Europe,Europe,international
Olympique Lyon,Inter,1959-01-14,1,1,F,UEFA EL,Olympique Lyon (France),Inter (Italy),france,italy,FR,IT,Europe,Europe,Europe,international
Leipziger Auswahl,Union St Gilloise,1959-03-04,1,0,F,UEFA EL,Leipziger Auswahl (Germany),Union St Gilloise (Belgium),germany,belgium,DE,BE,Europe,Europe,Europe,international
Union St Gilloise,As Roma,1959-04-22,2,0,F,UEFA EL,Union St Gilloise (Belgium),As Roma (Italy),belgium,italy,BE,IT,Europe,Europe,Europe,international
Chelsea FC,Beograd Xi,1959-04-29,1,0,F,UEFA EL,Chelsea FC (England),Beograd Xi (Serbia),england,serbia,ENG,RS,Europe,Europe,Europe,international
Birmingham City,Zagreb Xi,1959-05-06,1,0,F,UEFA EL,Birmingham City (England),Zagreb Xi (Croatia),england,croatia,ENG,HR,Europe,Europe,Europe,international
FC Barcelona,Inter,1959-05-07,4,0,F,UEFA EL,FC Barcelona (Spain),Inter (Italy),spain,italy,ES,IT,Europe,Europe,Europe,international
As Roma,Union St Gilloise,1959-05-13,1,1,F,UEFA EL,As Roma (Italy),Union St Gilloise (Belgium),italy,belgium,IT,BE,Europe,Europe,Europe,international
Beograd Xi,Chelsea FC,1959-05-13,4,1,F,UEFA EL,Beograd Xi (Serbia),Chelsea FC (England),serbia,england,RS,ENG,Europe,Europe,Europe,international
Zagreb Xi,Birmingham City,1959-05-24,3,3,F,UEFA EL,Zagreb Xi (Croatia),Birmingham City (England),croatia,england,HR,ENG,Europe,Europe,Europe,international
Inter,FC Barcelona,1959-09-30,2,4,F,UEFA EL,Inter (Italy),FC Barcelona (Spain),italy,spain,IT,ES,Europe,Europe,Europe,international
Union St Gilloise,Birmingham City,1959-10-07,2,4,F,UEFA EL,Union St Gilloise (Belgium),Birmingham City (England),belgium,england,BE,ENG,Europe,Europe,Europe,international
Beograd Xi,FC Barcelona,1959-10-28,1,1,F,UEFA EL,Beograd Xi (Serbia),FC Barcelona (Spain),serbia,spain,RS,ES,Europe,Europe,Europe,international
Birmingham City,Union St Gilloise,1959-11-11,4,2,F,UEFA EL,Birmingham City (England),Union St Gilloise (Belgium),england,belgium,ENG,BE,Europe,Europe,Europe,international
FC Barcelona,Beograd Xi,1959-12-09,3,1,F,UEFA EL,FC Barcelona (Spain),Beograd Xi (Serbia),spain,serbia,ES,RS,Europe,Europe,Europe,international
Birmingham City,FC Barcelona,1960-03-29,0,0,F,UEFA EL,Birmingham City (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international
