home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
FC Basel,Sheffield Wednesday,1995-06-24,1,0,F,UEFA ITC,FC Basel (Switzerland),Sheffield Wednesday (England),switzerland,england,CH,ENG,Europe,Europe,Europe,international
Oesters If,1 FC Koeln,1995-06-24,0,0,F,UEFA ITC,Oesters If (Sweden),1 FC Koeln (Germany),sweden,germany,SE,DE,Europe,Europe,Europe,international
Hb Torshavn,Universitatea Cluj,1995-06-24,0,0,F,UEFA ITC,Hb Torshavn (Faroe Islands),Universitatea Cluj (Romania),faroe-islands,romania,FO,RO,Europe,Europe,Europe,international
Bekescsaba 1912 Eloere Se,Uniao Leiria,1995-06-24,2,2,F,UEFA ITC,Bekescsaba 1912 Eloere Se (Hungary),Uniao Leiria (Portugal),hungary,portugal,HU,PT,Europe,Europe,Europe,international
Bohemian FC,Odense Bk,1995-06-24,0,2,F,UEFA ITC,Bohemian FC (Ireland Republic),Odense Bk (Denmark),ireland-republic,denmark,IRL,DK,Europe,Europe,Europe,international
JK Tervis Paernu,FK Buducnost Podgorica,1995-06-24,1,3,F,UEFA ITC,JK Tervis Paernu (Estonia),FK Buducnost Podgorica (Montenegro),estonia,montenegro,EE,ME,Europe,Europe,Europe,international
Pogon Szczecin,As Cannes,1995-06-24,1,2,F,UEFA ITC,Pogon Szczecin (Poland),As Cannes (France),poland,france,PL,FR,Europe,Europe,Europe,international
FC Zbrojovka Brno,FC Groningen,1995-06-24,1,2,F,UEFA ITC,FC Zbrojovka Brno (Czech Republic),FC Groningen (Netherlands),czech-republic,netherlands,CZ,NL,Europe,Europe,Europe,international
Beitar Jerusalem,Sporting Charleroi,1995-06-24,0,1,F,UEFA ITC,Beitar Jerusalem (Israel),Sporting Charleroi (Belgium),israel,belgium,IL,BE,Europe,Europe,Europe,international
Floriana FC,FC Wacker Innsbruck,1995-06-24,0,4,F,UEFA ITC,Floriana FC (Malta),FC Wacker Innsbruck (Austria),malta,austria,MT,AT,Europe,Europe,Europe,international
Spartak Plovdiv,Eintracht Frankfurt,1995-06-24,0,4,F,UEFA ITC,Spartak Plovdiv (Bulgaria),Eintracht Frankfurt (Germany),bulgaria,germany,BG,DE,Europe,Europe,Europe,international
Vorwaerts Steyr,Aep Iraklis FC,1995-06-24,3,0,F,UEFA ITC,Vorwaerts Steyr (Austria),Aep Iraklis FC (Greece),austria,greece,AT,GR,Europe,Europe,Europe,international
Aarhus Gf,Gornik Zabrze,1995-06-25,4,1,F,UEFA ITC,Aarhus Gf (Denmark),Gornik Zabrze (Poland),denmark,poland,DK,PL,Europe,Europe,Europe,international
Tottenham Hotspur,FC Luzern,1995-06-25,0,2,F,UEFA ITC,Tottenham Hotspur (England),FC Luzern (Switzerland),england,switzerland,ENG,CH,Europe,Europe,Europe,international
FC Aarau,Tromsoe Il,1995-06-25,2,2,F,UEFA ITC,FC Aarau (Switzerland),Tromsoe Il (Norway),switzerland,norway,CH,NO,Europe,Europe,Europe,international
SC Heerenveen,Naestved Bk,1995-06-25,2,1,F,UEFA ITC,SC Heerenveen (Netherlands),Naestved Bk (Denmark),netherlands,denmark,NL,DK,Europe,Europe,Europe,international
Ifk Norrkoeping,Hjk Helsinki,1995-06-25,1,1,F,UEFA ITC,Ifk Norrkoeping (Sweden),Hjk Helsinki (Finland),sweden,finland,SE,FI,Europe,Europe,Europe,international
LASK Linz,Partick Thistle,1995-06-25,2,2,F,UEFA ITC,LASK Linz (Austria),Partick Thistle (Scotland),austria,scotland,AT,SCO,Europe,Europe,Europe,international
Keflavik If,FC Metz,1995-06-25,1,2,F,UEFA ITC,Keflavik If (Iceland),FC Metz (France),iceland,france,IS,FR,Europe,Europe,Europe,international
