home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Rangers FC,AFC Ajax,1973-01-16,1,3,F,UEFA SC,Rangers FC (Scotland),AFC Ajax (Netherlands),scotland,netherlands,SCO,NL,Europe,Europe,Europe,international
AFC Ajax,Rangers FC,1973-01-24,3,2,F,UEFA SC,AFC Ajax (Netherlands),Rangers FC (Scotland),netherlands,scotland,NL,SCO,Europe,Europe,Europe,international
AC Milan,AFC Ajax,1974-01-09,1,0,F,UEFA SC,AC Milan (Italy),AFC Ajax (Netherlands),italy,netherlands,IT,NL,Europe,Europe,Europe,international
AFC Ajax,AC Milan,1974-01-16,6,0,F,UEFA SC,AFC Ajax (Netherlands),AC Milan (Italy),netherlands,italy,NL,IT,Europe,Europe,Europe,international
Bayern Muenchen,Dinamo Kiev,1975-09-09,0,1,F,UEFA SC,Bayern Muenchen (Germany),Dinamo Kiev (Ukraine),germany,ukraine,DE,UA,Europe,Europe,Europe,international
Dinamo Kiev,Bayern Muenchen,1975-10-06,2,0,F,UEFA SC,Dinamo Kiev (Ukraine),Bayern Muenchen (Germany),ukraine,germany,UA,DE,Europe,Europe,Europe,international
Bayern Muenchen,RSC Anderlecht,1976-08-17,2,1,F,UEFA SC,Bayern Muenchen (Germany),RSC Anderlecht (Belgium),germany,belgium,DE,BE,Europe,Europe,Europe,international
RSC Anderlecht,Bayern Muenchen,1976-08-30,4,1,F,UEFA SC,RSC Anderlecht (Belgium),Bayern Muenchen (Germany),belgium,germany,BE,DE,Europe,Europe,Europe,international
Hamburger SV,Liverpool FC,1977-11-22,1,1,F,UEFA SC,Hamburger SV (Germany),Liverpool FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international
Liverpool FC,Hamburger SV,1977-12-06,6,0,F,UEFA SC,Liverpool FC (England),Hamburger SV (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international
RSC Anderlecht,Liverpool FC,1978-12-04,3,1,F,UEFA SC,RSC Anderlecht (Belgium),Liverpool FC (England),belgium,england,BE,ENG,Europe,Europe,Europe,international
Liverpool FC,RSC Anderlecht,1978-12-19,2,1,F,UEFA SC,Liverpool FC (England),RSC Anderlecht (Belgium),england,belgium,ENG,BE,Europe,Europe,Europe,international
Nottingham Forest,FC Barcelona,1980-01-30,1,0,F,UEFA SC,Nottingham Forest (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international
FC Barcelona,Nottingham Forest,1980-02-05,1,1,F,UEFA SC,FC Barcelona (Spain),Nottingham Forest (England),spain,england,ES,ENG,Europe,Europe,Europe,international
Nottingham Forest,Valencia CF,1980-11-25,2,1,F,UEFA SC,Nottingham Forest (England),Valencia CF (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international
Valencia CF,Nottingham Forest,1980-12-17,1,0,F,UEFA SC,Valencia CF (Spain),Nottingham Forest (England),spain,england,ES,ENG,Europe,Europe,Europe,international
FC Barcelona,Aston Villa,1983-01-19,1,0,F,UEFA SC,FC Barcelona (Spain),Aston Villa (England),spain,england,ES,ENG,Europe,Europe,Europe,international
Aston Villa,FC Barcelona,1983-01-26,3,0,F,UEFA SC,Aston Villa (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international
