home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Kampala City Council,SC Victoria University,2012-09-25,0,0,F,uganda,Kampala City Council (Uganda),SC Victoria University (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Bunamwaya SC,Entebbe Young FC,2012-09-25,1,2,F,uganda,Bunamwaya SC (Uganda),Entebbe Young FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Kira Young,Victors FC,2012-09-25,1,0,F,uganda,Kira Young (Uganda),Victors FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Simba FC,Police,2012-09-25,1,0,F,uganda,Simba FC (Uganda),Police (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Uganda Revenue Authority FC,Water FC,2012-09-28,4,3,F,uganda,Uganda Revenue Authority FC (Uganda),Water FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Aurum Roses FC,Express,2012-09-28,0,4,F,uganda,Aurum Roses FC (Uganda),Express (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Bidco FC,Sports Villa,2012-09-28,0,2,F,uganda,Bidco FC (Uganda),Sports Villa (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Nalubaale FC,Masaka Local Council FC,2012-09-29,2,1,F,uganda,Nalubaale FC (Uganda),Masaka Local Council FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Entebbe Young FC,Kampala City Council,2012-10-02,0,0,F,uganda,Entebbe Young FC (Uganda),Kampala City Council (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Police,Kira Young,2012-10-02,1,1,F,uganda,Police (Uganda),Kira Young (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Victors FC,Water FC,2012-10-02,1,1,F,uganda,Victors FC (Uganda),Water FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
SC Victoria University,Uganda Revenue Authority FC,2012-10-05,1,0,F,uganda,SC Victoria University (Uganda),Uganda Revenue Authority FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Masaka Local Council FC,Bunamwaya SC,2012-10-05,2,2,F,uganda,Masaka Local Council FC (Uganda),Bunamwaya SC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Simba FC,Nalubaale FC,2012-10-05,0,0,F,uganda,Simba FC (Uganda),Nalubaale FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Express,Bidco FC,2012-10-05,0,0,F,uganda,Express (Uganda),Bidco FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Sports Villa,Aurum Roses FC,2012-10-05,0,1,F,uganda,Sports Villa (Uganda),Aurum Roses FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Kira Young,Nalubaale FC,2012-10-16,1,1,F,uganda,Kira Young (Uganda),Nalubaale FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Kampala City Council,Masaka Local Council FC,2012-10-16,4,1,F,uganda,Kampala City Council (Uganda),Masaka Local Council FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Entebbe Young FC,SC Victoria University,2012-10-16,0,2,F,uganda,Entebbe Young FC (Uganda),SC Victoria University (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Bunamwaya SC,Express,2012-10-16,2,0,F,uganda,Bunamwaya SC (Uganda),Express (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Water FC,Bidco FC,2012-10-16,0,0,F,uganda,Water FC (Uganda),Bidco FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Victors FC,Aurum Roses FC,2012-10-16,0,0,F,uganda,Victors FC (Uganda),Aurum Roses FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Police,Sports Villa,2012-10-16,1,2,F,uganda,Police (Uganda),Sports Villa (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Uganda Revenue Authority FC,Simba FC,2012-10-16,2,1,F,uganda,Uganda Revenue Authority FC (Uganda),Simba FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Kampala City Council,Uganda Revenue Authority FC,2012-10-19,1,0,F,uganda,Kampala City Council (Uganda),Uganda Revenue Authority FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Masaka Local Council FC,SC Victoria University,2012-10-19,0,0,F,uganda,Masaka Local Council FC (Uganda),SC Victoria University (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Kira Young,Simba FC,2012-10-19,1,0,F,uganda,Kira Young (Uganda),Simba FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
Bidco FC,Victors FC,2012-10-19,3,2,F,uganda,Bidco FC (Uganda),Victors FC (Uganda),uganda,uganda,UG,UG,Africa,Africa,Africa,national
