home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
MFK Mikolaiv,Temp Shepetivka,1992-03-06,1,0,F,ukraine,MFK Mikolaiv (Ukraine),Temp Shepetivka (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Chernomorets Odessa,Karpaty Lviv,1992-03-06,2,2,F,ukraine,Chernomorets Odessa (Ukraine),Karpaty Lviv (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Tavriya Simferopol,Torpedo Zaporizhya,1992-03-07,2,0,F,ukraine,Tavriya Simferopol (Ukraine),Torpedo Zaporizhya (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Metalurg Zaporizhya,Shakhtar Donetsk,1992-03-07,1,1,F,ukraine,Metalurg Zaporizhya (Ukraine),Shakhtar Donetsk (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
FK Kremin,PFK Niva Vinnitsa,1992-03-07,1,0,F,ukraine,FK Kremin (Ukraine),PFK Niva Vinnitsa (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Sk Odessa,Naftovik Ukrnafta,1992-03-07,0,1,F,ukraine,Sk Odessa (Ukraine),Naftovik Ukrnafta (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Spartak Ivano Frankivsk,Volyn Lutsk,1992-03-07,0,0,F,ukraine,Spartak Ivano Frankivsk (Ukraine),Volyn Lutsk (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Dinamo Kiev,Metalist Kharkov,1992-03-07,2,1,F,ukraine,Dinamo Kiev (Ukraine),Metalist Kharkov (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Dnipro Dnipropetrovsk,Zorya Lugansk,1992-03-07,2,0,F,ukraine,Dnipro Dnipropetrovsk (Ukraine),Zorya Lugansk (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
FK Bukovina,Niva Ternopil,1992-03-07,2,1,F,ukraine,FK Bukovina (Ukraine),Niva Ternopil (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
MFK Mikolaiv,Karpaty Lviv,1992-03-09,1,1,F,ukraine,MFK Mikolaiv (Ukraine),Karpaty Lviv (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Chernomorets Odessa,Temp Shepetivka,1992-03-09,3,1,F,ukraine,Chernomorets Odessa (Ukraine),Temp Shepetivka (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Tavriya Simferopol,Shakhtar Donetsk,1992-03-10,1,1,F,ukraine,Tavriya Simferopol (Ukraine),Shakhtar Donetsk (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Metalurg Zaporizhya,Torpedo Zaporizhya,1992-03-10,0,1,F,ukraine,Metalurg Zaporizhya (Ukraine),Torpedo Zaporizhya (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Sk Odessa,Metalist Kharkov,1992-03-10,0,3,F,ukraine,Sk Odessa (Ukraine),Metalist Kharkov (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Spartak Ivano Frankivsk,Niva Ternopil,1992-03-10,0,0,F,ukraine,Spartak Ivano Frankivsk (Ukraine),Niva Ternopil (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Dinamo Kiev,Naftovik Ukrnafta,1992-03-10,1,0,F,ukraine,Dinamo Kiev (Ukraine),Naftovik Ukrnafta (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
FK Bukovina,Volyn Lutsk,1992-03-10,2,1,F,ukraine,FK Bukovina (Ukraine),Volyn Lutsk (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Torpedo Zaporizhya,FK Kremin,1992-03-18,0,0,F,ukraine,Torpedo Zaporizhya (Ukraine),FK Kremin (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Temp Shepetivka,Metalurg Zaporizhya,1992-03-18,0,2,F,ukraine,Temp Shepetivka (Ukraine),Metalurg Zaporizhya (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Shakhtar Donetsk,PFK Niva Vinnitsa,1992-03-18,5,0,F,ukraine,Shakhtar Donetsk (Ukraine),PFK Niva Vinnitsa (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Karpaty Lviv,Tavriya Simferopol,1992-03-18,0,2,F,ukraine,Karpaty Lviv (Ukraine),Tavriya Simferopol (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Volyn Lutsk,Dnipro Dnipropetrovsk,1992-03-18,1,0,F,ukraine,Volyn Lutsk (Ukraine),Dnipro Dnipropetrovsk (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Niva Ternopil,Zorya Lugansk,1992-03-18,2,0,F,ukraine,Niva Ternopil (Ukraine),Zorya Lugansk (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Naftovik Ukrnafta,FK Bukovina,1992-03-18,0,0,F,ukraine,Naftovik Ukrnafta (Ukraine),FK Bukovina (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Metalist Kharkov,Spartak Ivano Frankivsk,1992-03-18,1,0,F,ukraine,Metalist Kharkov (Ukraine),Spartak Ivano Frankivsk (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Torpedo Zaporizhya,PFK Niva Vinnitsa,1992-03-21,4,0,F,ukraine,Torpedo Zaporizhya (Ukraine),PFK Niva Vinnitsa (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Temp Shepetivka,Tavriya Simferopol,1992-03-21,1,0,F,ukraine,Temp Shepetivka (Ukraine),Tavriya Simferopol (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Shakhtar Donetsk,FK Kremin,1992-03-21,2,0,F,ukraine,Shakhtar Donetsk (Ukraine),FK Kremin (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Karpaty Lviv,Metalurg Zaporizhya,1992-03-21,0,0,F,ukraine,Karpaty Lviv (Ukraine),Metalurg Zaporizhya (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
MFK Mikolaiv,Chernomorets Odessa,1992-03-21,1,2,F,ukraine,MFK Mikolaiv (Ukraine),Chernomorets Odessa (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Volyn Lutsk,Zorya Lugansk,1992-03-21,2,0,F,ukraine,Volyn Lutsk (Ukraine),Zorya Lugansk (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Niva Ternopil,Dnipro Dnipropetrovsk,1992-03-21,1,0,F,ukraine,Niva Ternopil (Ukraine),Dnipro Dnipropetrovsk (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Naftovik Ukrnafta,Spartak Ivano Frankivsk,1992-03-21,1,0,F,ukraine,Naftovik Ukrnafta (Ukraine),Spartak Ivano Frankivsk (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Metalist Kharkov,FK Bukovina,1992-03-21,0,0,F,ukraine,Metalist Kharkov (Ukraine),FK Bukovina (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Sk Odessa,Dinamo Kiev,1992-03-23,1,3,F,ukraine,Sk Odessa (Ukraine),Dinamo Kiev (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Tavriya Simferopol,Chernomorets Odessa,1992-03-27,1,0,F,ukraine,Tavriya Simferopol (Ukraine),Chernomorets Odessa (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
PFK Niva Vinnitsa,Karpaty Lviv,1992-03-27,3,0,F,ukraine,PFK Niva Vinnitsa (Ukraine),Karpaty Lviv (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
Metalurg Zaporizhya,MFK Mikolaiv,1992-03-27,2,0,F,ukraine,Metalurg Zaporizhya (Ukraine),MFK Mikolaiv (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
FK Kremin,Temp Shepetivka,1992-03-27,1,1,F,ukraine,FK Kremin (Ukraine),Temp Shepetivka (Ukraine),ukraine,ukraine,UA,UA,Europe,Europe,Europe,national
