home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
San Jose Earthquakes,D C United,1996-04-06,1,0,F,united-states,San Jose Earthquakes (United States),D C United (United States),united-states,united-states,US,US,North America,North America,North America,national
Los Angeles Galaxy,New York RB,1996-04-13,2,1,F,united-states,Los Angeles Galaxy (United States),New York RB (United States),united-states,united-states,US,US,North America,North America,North America,national
Columbus Crew,D C United,1996-04-13,4,0,F,united-states,Columbus Crew (United States),D C United (United States),united-states,united-states,US,US,North America,North America,North America,national
Sporting Kansas City,Colorado Rapids,1996-04-13,3,0,F,united-states,Sporting Kansas City (United States),Colorado Rapids (United States),united-states,united-states,US,US,North America,North America,North America,national
Tampa Bay Mutiny,New England Revolution,1996-04-13,3,2,F,united-states,Tampa Bay Mutiny (United States),New England Revolution (United States),united-states,united-states,US,US,North America,North America,North America,national
FC Dallas,San Jose Earthquakes,1996-04-14,1,0,F,united-states,FC Dallas (United States),San Jose Earthquakes (United States),united-states,united-states,US,US,North America,North America,North America,national
FC Dallas,Sporting Kansas City,1996-04-18,3,0,F,united-states,FC Dallas (United States),Sporting Kansas City (United States),united-states,united-states,US,US,North America,North America,North America,national
Columbus Crew,Tampa Bay Mutiny,1996-04-20,1,2,F,united-states,Columbus Crew (United States),Tampa Bay Mutiny (United States),united-states,united-states,US,US,North America,North America,North America,national
D C United,Los Angeles Galaxy,1996-04-20,1,2,F,united-states,D C United (United States),Los Angeles Galaxy (United States),united-states,united-states,US,US,North America,North America,North America,national
New York RB,New England Revolution,1996-04-20,0,1,F,united-states,New York RB (United States),New England Revolution (United States),united-states,united-states,US,US,North America,North America,North America,national
San Jose Earthquakes,Sporting Kansas City,1996-04-21,2,3,F,united-states,San Jose Earthquakes (United States),Sporting Kansas City (United States),united-states,united-states,US,US,North America,North America,North America,national
Colorado Rapids,FC Dallas,1996-04-21,3,1,F,united-states,Colorado Rapids (United States),FC Dallas (United States),united-states,united-states,US,US,North America,North America,North America,national
New England Revolution,D C United,1996-04-27,2,1,F,united-states,New England Revolution (United States),D C United (United States),united-states,united-states,US,US,North America,North America,North America,national
New York RB,Columbus Crew,1996-04-27,0,2,F,united-states,New York RB (United States),Columbus Crew (United States),united-states,united-states,US,US,North America,North America,North America,national
