home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
FK Yangiyer,FK Chirchik,1992-03-28,3,1,F,uzbekistan,FK Yangiyer (Uzbekistan),FK Chirchik (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
FK Kasansay,Pakhtakor Tashkent,1992-03-28,0,1,F,uzbekistan,FK Kasansay (Uzbekistan),Pakhtakor Tashkent (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Kimyogar Chirchiq,FK Orol Nukus,1992-03-28,0,0,F,uzbekistan,Kimyogar Chirchiq (Uzbekistan),FK Orol Nukus (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
PFK Dinamo Samarqand,Traktor Tashkent,1992-03-28,1,1,F,uzbekistan,PFK Dinamo Samarqand (Uzbekistan),Traktor Tashkent (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Nuravshon Bukhara,Andijon Uz Daewoo Auto FK,1992-03-28,2,2,F,uzbekistan,Nuravshon Bukhara (Uzbekistan),Andijon Uz Daewoo Auto FK (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
FK Shahrixon,Neftchi Fargona,1992-03-28,1,5,F,uzbekistan,FK Shahrixon (Uzbekistan),Neftchi Fargona (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Surkhan Termiz,Navbahor Namangan,1992-03-28,1,1,F,uzbekistan,Surkhan Termiz (Uzbekistan),Navbahor Namangan (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Qoqon FK 1912,MHSK Tashkent,1992-03-28,2,0,F,uzbekistan,Qoqon FK 1912 (Uzbekistan),MHSK Tashkent (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
FK Yangiyer,Traktor Tashkent,1992-03-31,0,1,F,uzbekistan,FK Yangiyer (Uzbekistan),Traktor Tashkent (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
FK Kasansay,MHSK Tashkent,1992-03-31,4,1,F,uzbekistan,FK Kasansay (Uzbekistan),MHSK Tashkent (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
PFK Dinamo Samarqand,FK Chirchik,1992-03-31,2,1,F,uzbekistan,PFK Dinamo Samarqand (Uzbekistan),FK Chirchik (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Nuravshon Bukhara,Navbahor Namangan,1992-03-31,1,1,F,uzbekistan,Nuravshon Bukhara (Uzbekistan),Navbahor Namangan (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Sogdiyona Jizzax,FK Orol Nukus,1992-03-31,1,0,F,uzbekistan,Sogdiyona Jizzax (Uzbekistan),FK Orol Nukus (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Surkhan Termiz,Andijon Uz Daewoo Auto FK,1992-03-31,1,1,F,uzbekistan,Surkhan Termiz (Uzbekistan),Andijon Uz Daewoo Auto FK (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Qoqon FK 1912,Pakhtakor Tashkent,1992-03-31,0,0,F,uzbekistan,Qoqon FK 1912 (Uzbekistan),Pakhtakor Tashkent (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
MHSK Tashkent,FK Shahrixon,1992-04-04,1,0,F,uzbekistan,MHSK Tashkent (Uzbekistan),FK Shahrixon (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
FK Orol Nukus,Qoqon FK 1912,1992-04-05,0,2,F,uzbekistan,FK Orol Nukus (Uzbekistan),Qoqon FK 1912 (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
FK Chirchik,Sogdiyona Jizzax,1992-04-05,0,1,F,uzbekistan,FK Chirchik (Uzbekistan),Sogdiyona Jizzax (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Andijon Uz Daewoo Auto FK,FK Yangiyer,1992-04-05,2,1,F,uzbekistan,Andijon Uz Daewoo Auto FK (Uzbekistan),FK Yangiyer (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Traktor Tashkent,Kimyogar Chirchiq,1992-04-05,1,2,F,uzbekistan,Traktor Tashkent (Uzbekistan),Kimyogar Chirchiq (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
FK Orol Nukus,FK Kasansay,1992-04-08,2,0,F,uzbekistan,FK Orol Nukus (Uzbekistan),FK Kasansay (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Navbahor Namangan,FK Yangiyer,1992-04-08,1,0,F,uzbekistan,Navbahor Namangan (Uzbekistan),FK Yangiyer (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Andijon Uz Daewoo Auto FK,PFK Dinamo Samarqand,1992-04-08,4,1,F,uzbekistan,Andijon Uz Daewoo Auto FK (Uzbekistan),PFK Dinamo Samarqand (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Pakhtakor Tashkent,FK Shahrixon,1992-04-08,4,1,F,uzbekistan,Pakhtakor Tashkent (Uzbekistan),FK Shahrixon (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Surkhan Termiz,Nuravshon Bukhara,1992-04-08,0,0,F,uzbekistan,Surkhan Termiz (Uzbekistan),Nuravshon Bukhara (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
Traktor Tashkent,Sogdiyona Jizzax,1992-04-08,1,0,F,uzbekistan,Traktor Tashkent (Uzbekistan),Sogdiyona Jizzax (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
FK Chirchik,Kimyogar Chirchiq,1992-04-09,2,1,F,uzbekistan,FK Chirchik (Uzbekistan),Kimyogar Chirchiq (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
MHSK Tashkent,Neftchi Fargona,1992-04-09,0,0,F,uzbekistan,MHSK Tashkent (Uzbekistan),Neftchi Fargona (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
FK Yangiyer,Nuravshon Bukhara,1992-04-17,1,2,F,uzbekistan,FK Yangiyer (Uzbekistan),Nuravshon Bukhara (Uzbekistan),uzbekistan,uzbekistan,UZ,UZ,Asia,Asia,Asia,national
