home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Minerven FC,Nacional Tachira,1996-08-11,2,1,F,venezuela,Minerven FC (Venezuela),Nacional Tachira (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Atletico El Vigia,Caracas FC,1996-08-11,0,1,F,venezuela,Atletico El Vigia (Venezuela),Caracas FC (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Deportivo Petare,Estudiantes De Merida,1996-08-11,1,3,F,venezuela,Deportivo Petare (Venezuela),Estudiantes De Merida (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Llaneros De Guanare,Minerven FC,1996-08-11,3,3,F,venezuela,Llaneros De Guanare (Venezuela),Minerven FC (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Nacional Tachira,Valencia FC,1996-08-11,0,2,F,venezuela,Nacional Tachira (Venezuela),Valencia FC (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Deportivo Zulia,Inter Lara,1996-08-11,0,1,F,venezuela,Deportivo Zulia (Venezuela),Inter Lara (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Deportivo Zulia,Nacional Tachira,1996-08-18,2,1,F,venezuela,Deportivo Zulia (Venezuela),Nacional Tachira (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Valencia FC,Llaneros De Guanare,1996-08-18,2,3,F,venezuela,Valencia FC (Venezuela),Llaneros De Guanare (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Minerven FC,Deportivo Petare,1996-08-18,2,1,F,venezuela,Minerven FC (Venezuela),Deportivo Petare (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Estudiantes De Merida,Atletico El Vigia,1996-08-18,0,0,F,venezuela,Estudiantes De Merida (Venezuela),Atletico El Vigia (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Caracas FC,Minerven FC,1996-08-18,0,1,F,venezuela,Caracas FC (Venezuela),Minerven FC (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Nacional Tachira,Inter Lara,1996-08-18,1,1,F,venezuela,Nacional Tachira (Venezuela),Inter Lara (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Minerven FC,Estudiantes De Merida,1996-08-21,3,1,F,venezuela,Minerven FC (Venezuela),Estudiantes De Merida (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Atletico El Vigia,Minerven FC,1996-08-21,0,1,F,venezuela,Atletico El Vigia (Venezuela),Minerven FC (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Deportivo Petare,Valencia FC,1996-08-21,1,0,F,venezuela,Deportivo Petare (Venezuela),Valencia FC (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Llaneros De Guanare,Nacional Tachira,1996-08-21,2,2,F,venezuela,Llaneros De Guanare (Venezuela),Nacional Tachira (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Inter Lara,Caracas FC,1996-08-21,0,1,F,venezuela,Inter Lara (Venezuela),Caracas FC (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Deportivo Zulia,Nacional Tachira,1996-08-21,1,0,F,venezuela,Deportivo Zulia (Venezuela),Nacional Tachira (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Minerven FC,Minerven FC,1996-08-25,1,0,F,venezuela,Minerven FC (Venezuela),Minerven FC (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Caracas FC,Nacional Tachira,1996-08-25,1,0,F,venezuela,Caracas FC (Venezuela),Nacional Tachira (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Llaneros De Guanare,Deportivo Zulia,1996-08-25,1,1,F,venezuela,Llaneros De Guanare (Venezuela),Deportivo Zulia (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Nacional Tachira,Deportivo Petare,1996-08-25,0,0,F,venezuela,Nacional Tachira (Venezuela),Deportivo Petare (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
Estudiantes De Merida,Inter Lara,1996-08-25,3,0,F,venezuela,Estudiantes De Merida (Venezuela),Inter Lara (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,national
