home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Hoa Phat Ha Noi,Dpm Nam Dinh,2005-01-30,3,2,F,vietnam,Hoa Phat Ha Noi (Vietnam),Dpm Nam Dinh (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Xi Mang Hai Phong,Asia Commercial Bank Ha Noi,2005-01-30,0,0,F,vietnam,Xi Mang Hai Phong (Vietnam),Asia Commercial Bank Ha Noi (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Binh Dinh,Hoang Anh Gia Lai,2005-01-30,0,2,F,vietnam,Binh Dinh (Vietnam),Hoang Anh Gia Lai (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Pjico Song Lam Nghe An,Shb Da Nang FC,2005-01-30,1,0,F,vietnam,Pjico Song Lam Nghe An (Vietnam),Shb Da Nang FC (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Dong Tam Long An,Cao Su Dong Thap FC,2005-01-30,2,0,F,vietnam,Dong Tam Long An (Vietnam),Cao Su Dong Thap FC (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Becamex Binh Duong,Thep Mien Nam Cang Sai Gon,2005-01-30,0,1,F,vietnam,Becamex Binh Duong (Vietnam),Thep Mien Nam Cang Sai Gon (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Hoang Anh Gia Lai,Pjico Song Lam Nghe An,2005-02-05,3,1,F,vietnam,Hoang Anh Gia Lai (Vietnam),Pjico Song Lam Nghe An (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Dpm Nam Dinh,Xi Mang Hai Phong,2005-02-06,2,1,F,vietnam,Dpm Nam Dinh (Vietnam),Xi Mang Hai Phong (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Asia Commercial Bank Ha Noi,Hoa Phat Ha Noi,2005-02-06,1,1,F,vietnam,Asia Commercial Bank Ha Noi (Vietnam),Hoa Phat Ha Noi (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Shb Da Nang FC,Binh Dinh,2005-02-06,1,1,F,vietnam,Shb Da Nang FC (Vietnam),Binh Dinh (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Cao Su Dong Thap FC,Becamex Binh Duong,2005-02-06,1,1,F,vietnam,Cao Su Dong Thap FC (Vietnam),Becamex Binh Duong (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Thep Mien Nam Cang Sai Gon,Dong Tam Long An,2005-02-06,2,2,F,vietnam,Thep Mien Nam Cang Sai Gon (Vietnam),Dong Tam Long An (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Dpm Nam Dinh,Asia Commercial Bank Ha Noi,2005-02-20,0,0,F,vietnam,Dpm Nam Dinh (Vietnam),Asia Commercial Bank Ha Noi (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Hoa Phat Ha Noi,Xi Mang Hai Phong,2005-02-20,1,1,F,vietnam,Hoa Phat Ha Noi (Vietnam),Xi Mang Hai Phong (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Binh Dinh,Pjico Song Lam Nghe An,2005-02-20,1,0,F,vietnam,Binh Dinh (Vietnam),Pjico Song Lam Nghe An (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Hoang Anh Gia Lai,Shb Da Nang FC,2005-02-20,1,1,F,vietnam,Hoang Anh Gia Lai (Vietnam),Shb Da Nang FC (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Thep Mien Nam Cang Sai Gon,Cao Su Dong Thap FC,2005-02-20,2,2,F,vietnam,Thep Mien Nam Cang Sai Gon (Vietnam),Cao Su Dong Thap FC (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Dong Tam Long An,Becamex Binh Duong,2005-02-20,1,1,F,vietnam,Dong Tam Long An (Vietnam),Becamex Binh Duong (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Xi Mang Hai Phong,Dong Tam Long An,2005-02-27,3,2,F,vietnam,Xi Mang Hai Phong (Vietnam),Dong Tam Long An (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Asia Commercial Bank Ha Noi,Cao Su Dong Thap FC,2005-02-27,2,0,F,vietnam,Asia Commercial Bank Ha Noi (Vietnam),Cao Su Dong Thap FC (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Pjico Song Lam Nghe An,Hoa Phat Ha Noi,2005-02-27,2,3,F,vietnam,Pjico Song Lam Nghe An (Vietnam),Hoa Phat Ha Noi (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Shb Da Nang FC,Dpm Nam Dinh,2005-02-27,2,0,F,vietnam,Shb Da Nang FC (Vietnam),Dpm Nam Dinh (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Binh Dinh,Becamex Binh Duong,2005-02-27,0,1,F,vietnam,Binh Dinh (Vietnam),Becamex Binh Duong (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
Hoang Anh Gia Lai,Thep Mien Nam Cang Sai Gon,2005-02-27,0,0,F,vietnam,Hoang Anh Gia Lai (Vietnam),Thep Mien Nam Cang Sai Gon (Vietnam),vietnam,vietnam,VN,VN,Asia,Asia,Asia,national
