home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Caersws FC,Bangor City,1998-08-22,2,0,F,wales,Caersws FC (Wales),Bangor City (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Rhyl FC,Connahs Quay FC,1998-08-22,1,2,F,wales,Rhyl FC (Wales),Connahs Quay FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Rhayader Town,Newtown Afc,1998-08-22,0,2,F,wales,Rhayader Town (Wales),Newtown Afc (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Aberystwyth Town,Afan Lido FC,1998-08-22,2,1,F,wales,Aberystwyth Town (Wales),Afan Lido FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Cwmbran Town,Barry Town FC,1998-08-22,0,4,F,wales,Cwmbran Town (Wales),Barry Town FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Caernarfon Town,Holywell Town FC,1998-08-22,2,2,F,wales,Caernarfon Town (Wales),Holywell Town FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Haverfordwest County,Llansantffraid,1998-08-22,1,3,F,wales,Haverfordwest County (Wales),Llansantffraid (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Afan Lido FC,Haverfordwest County,1998-08-29,0,2,F,wales,Afan Lido FC (Wales),Haverfordwest County (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Holywell Town FC,Caersws FC,1998-08-29,0,0,F,wales,Holywell Town FC (Wales),Caersws FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Rhyl FC,Caernarfon Town,1998-08-29,0,1,F,wales,Rhyl FC (Wales),Caernarfon Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Cwmbran Town,Carmarthen Town,1998-08-29,2,0,F,wales,Cwmbran Town (Wales),Carmarthen Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Newtown Afc,Llansantffraid,1998-08-29,0,0,F,wales,Newtown Afc (Wales),Llansantffraid (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Connahs Quay FC,Rhayader Town,1998-08-29,4,1,F,wales,Connahs Quay FC (Wales),Rhayader Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Barry Town FC,Conwy Borough FC,1998-08-29,1,1,F,wales,Barry Town FC (Wales),Conwy Borough FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Aberystwyth Town,Cardiff Metropolitan,1998-08-29,1,1,F,wales,Aberystwyth Town (Wales),Cardiff Metropolitan (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Cardiff Metropolitan,Carmarthen Town,1998-09-01,1,2,F,wales,Cardiff Metropolitan (Wales),Carmarthen Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Rhyl FC,Cwmbran Town,1998-09-06,1,4,F,wales,Rhyl FC (Wales),Cwmbran Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Bangor City,Connahs Quay FC,1998-09-08,0,2,F,wales,Bangor City (Wales),Connahs Quay FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Newtown Afc,Caernarfon Town,1998-09-08,1,1,F,wales,Newtown Afc (Wales),Caernarfon Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Barry Town FC,Afan Lido FC,1998-09-08,0,2,F,wales,Barry Town FC (Wales),Afan Lido FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Holywell Town FC,Conwy Borough FC,1998-09-08,4,3,F,wales,Holywell Town FC (Wales),Conwy Borough FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Rhayader Town,Haverfordwest County,1998-09-09,2,2,F,wales,Rhayader Town (Wales),Haverfordwest County (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Carmarthen Town,Aberystwyth Town,1998-09-09,2,5,F,wales,Carmarthen Town (Wales),Aberystwyth Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Llansantffraid,Caersws FC,1998-09-09,2,1,F,wales,Llansantffraid (Wales),Caersws FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Caersws FC,Rhyl FC,1998-09-12,3,1,F,wales,Caersws FC (Wales),Rhyl FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Cwmbran Town,Aberystwyth Town,1998-09-12,0,1,F,wales,Cwmbran Town (Wales),Aberystwyth Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Llansantffraid,Bangor City,1998-09-12,1,2,F,wales,Llansantffraid (Wales),Bangor City (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Haverfordwest County,Newtown Afc,1998-09-12,2,0,F,wales,Haverfordwest County (Wales),Newtown Afc (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Cardiff Metropolitan,Afan Lido FC,1998-09-12,0,1,F,wales,Cardiff Metropolitan (Wales),Afan Lido FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Conwy Borough FC,Carmarthen Town,1998-09-12,1,2,F,wales,Conwy Borough FC (Wales),Carmarthen Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Connahs Quay FC,Barry Town FC,1998-09-12,0,3,F,wales,Connahs Quay FC (Wales),Barry Town FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Rhayader Town,Holywell Town FC,1998-09-12,1,3,F,wales,Rhayader Town (Wales),Holywell Town FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Afan Lido FC,Cwmbran Town,1998-09-19,0,4,F,wales,Afan Lido FC (Wales),Cwmbran Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Carmarthen Town,Connahs Quay FC,1998-09-19,6,2,F,wales,Carmarthen Town (Wales),Connahs Quay FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Barry Town FC,Caernarfon Town,1998-09-19,3,0,F,wales,Barry Town FC (Wales),Caernarfon Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Bangor City,Newtown Afc,1998-09-19,2,3,F,wales,Bangor City (Wales),Newtown Afc (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Holywell Town FC,Llansantffraid,1998-09-19,3,3,F,wales,Holywell Town FC (Wales),Llansantffraid (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Rhyl FC,Rhayader Town,1998-09-19,3,1,F,wales,Rhyl FC (Wales),Rhayader Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Aberystwyth Town,Conwy Borough FC,1998-09-19,3,1,F,wales,Aberystwyth Town (Wales),Conwy Borough FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Haverfordwest County,Cardiff Metropolitan,1998-09-19,0,1,F,wales,Haverfordwest County (Wales),Cardiff Metropolitan (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Newtown Afc,Holywell Town FC,1998-09-25,4,0,F,wales,Newtown Afc (Wales),Holywell Town FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Llansantffraid,Rhyl FC,1998-09-26,6,0,F,wales,Llansantffraid (Wales),Rhyl FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Connahs Quay FC,Aberystwyth Town,1998-09-26,0,0,F,wales,Connahs Quay FC (Wales),Aberystwyth Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Haverfordwest County,Bangor City,1998-09-26,0,0,F,wales,Haverfordwest County (Wales),Bangor City (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Cardiff Metropolitan,Cwmbran Town,1998-09-26,0,1,F,wales,Cardiff Metropolitan (Wales),Cwmbran Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Conwy Borough FC,Afan Lido FC,1998-09-26,2,0,F,wales,Conwy Borough FC (Wales),Afan Lido FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Caernarfon Town,Carmarthen Town,1998-09-26,3,2,F,wales,Caernarfon Town (Wales),Carmarthen Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Caersws FC,Barry Town FC,1998-09-26,2,4,F,wales,Caersws FC (Wales),Barry Town FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Holywell Town FC,Bangor City,1998-10-02,1,1,F,wales,Holywell Town FC (Wales),Bangor City (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Cwmbran Town,Haverfordwest County,1998-10-03,4,0,F,wales,Cwmbran Town (Wales),Haverfordwest County (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Carmarthen Town,Caersws FC,1998-10-03,0,1,F,wales,Carmarthen Town (Wales),Caersws FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Aberystwyth Town,Caernarfon Town,1998-10-03,1,1,F,wales,Aberystwyth Town (Wales),Caernarfon Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Rhyl FC,Newtown Afc,1998-10-03,3,3,F,wales,Rhyl FC (Wales),Newtown Afc (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Connahs Quay FC,Afan Lido FC,1998-10-03,0,0,F,wales,Connahs Quay FC (Wales),Afan Lido FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Barry Town FC,Rhayader Town,1998-10-03,7,1,F,wales,Barry Town FC (Wales),Rhayader Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Conwy Borough FC,Cardiff Metropolitan,1998-10-03,3,0,F,wales,Conwy Borough FC (Wales),Cardiff Metropolitan (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Caersws FC,Aberystwyth Town,1998-10-09,2,3,F,wales,Caersws FC (Wales),Aberystwyth Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Bangor City,Rhyl FC,1998-10-10,4,1,F,wales,Bangor City (Wales),Rhyl FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Cardiff Metropolitan,Connahs Quay FC,1998-10-10,1,1,F,wales,Cardiff Metropolitan (Wales),Connahs Quay FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Afan Lido FC,Caernarfon Town,1998-10-10,1,3,F,wales,Afan Lido FC (Wales),Caernarfon Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Rhayader Town,Carmarthen Town,1998-10-10,1,0,F,wales,Rhayader Town (Wales),Carmarthen Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Llansantffraid,Barry Town FC,1998-10-10,1,2,F,wales,Llansantffraid (Wales),Barry Town FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Haverfordwest County,Holywell Town FC,1998-10-10,7,2,F,wales,Haverfordwest County (Wales),Holywell Town FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Cwmbran Town,Conwy Borough FC,1998-10-10,3,0,F,wales,Cwmbran Town (Wales),Conwy Borough FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Newtown Afc,Bangor City,1998-10-17,3,1,F,wales,Newtown Afc (Wales),Bangor City (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Conwy Borough FC,Haverfordwest County,1998-10-25,0,2,F,wales,Conwy Borough FC (Wales),Haverfordwest County (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Rhyl FC,Holywell Town FC,1998-10-25,5,1,F,wales,Rhyl FC (Wales),Holywell Town FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Caernarfon Town,Cardiff Metropolitan,1998-10-25,1,1,F,wales,Caernarfon Town (Wales),Cardiff Metropolitan (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Haverfordwest County,Rhyl FC,1998-10-31,5,2,F,wales,Haverfordwest County (Wales),Rhyl FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Llansantffraid,Aberystwyth Town,1998-10-31,0,0,F,wales,Llansantffraid (Wales),Aberystwyth Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Conwy Borough FC,Connahs Quay FC,1998-10-31,1,3,F,wales,Conwy Borough FC (Wales),Connahs Quay FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Cwmbran Town,Caernarfon Town,1998-10-31,6,0,F,wales,Cwmbran Town (Wales),Caernarfon Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Newtown Afc,Carmarthen Town,1998-10-31,0,0,F,wales,Newtown Afc (Wales),Carmarthen Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Bangor City,Barry Town FC,1998-10-31,0,3,F,wales,Bangor City (Wales),Barry Town FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Cardiff Metropolitan,Caersws FC,1998-11-01,6,0,F,wales,Cardiff Metropolitan (Wales),Caersws FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Carmarthen Town,Bangor City,1998-11-07,1,2,F,wales,Carmarthen Town (Wales),Bangor City (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Caersws FC,Cwmbran Town,1998-11-07,1,3,F,wales,Caersws FC (Wales),Cwmbran Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Aberystwyth Town,Newtown Afc,1998-11-07,5,0,F,wales,Aberystwyth Town (Wales),Newtown Afc (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Llansantffraid,Afan Lido FC,1998-11-07,1,1,F,wales,Llansantffraid (Wales),Afan Lido FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Barry Town FC,Holywell Town FC,1998-11-07,4,0,F,wales,Barry Town FC (Wales),Holywell Town FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Caernarfon Town,Conwy Borough FC,1998-11-07,1,1,F,wales,Caernarfon Town (Wales),Conwy Borough FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Rhayader Town,Cardiff Metropolitan,1998-11-07,0,5,F,wales,Rhayader Town (Wales),Cardiff Metropolitan (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Cwmbran Town,Rhayader Town,1998-11-13,3,6,F,wales,Cwmbran Town (Wales),Rhayader Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Bangor City,Aberystwyth Town,1998-11-14,1,2,F,wales,Bangor City (Wales),Aberystwyth Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Conwy Borough FC,Caersws FC,1998-11-14,2,1,F,wales,Conwy Borough FC (Wales),Caersws FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Caernarfon Town,Connahs Quay FC,1998-11-14,1,1,F,wales,Caernarfon Town (Wales),Connahs Quay FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Newtown Afc,Afan Lido FC,1998-11-14,4,0,F,wales,Newtown Afc (Wales),Afan Lido FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Holywell Town FC,Carmarthen Town,1998-11-14,1,1,F,wales,Holywell Town FC (Wales),Carmarthen Town (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
Rhyl FC,Barry Town FC,1998-11-14,0,6,F,wales,Rhyl FC (Wales),Barry Town FC (Wales),wales,wales,WAL,WAL,Europe,Europe,Europe,national
