home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Al Ittihad Ibb,Shab Sanaa,2005-02-03,1,0,F,yemen,Al Ittihad Ibb (Yemen),Shab Sanaa (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Saqr,Al Ahli Sanaa,2005-02-03,0,1,F,yemen,Al Saqr (Yemen),Al Ahli Sanaa (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Yarmok Sanaa,Al Sholaa Aden,2005-02-03,2,1,F,yemen,Al Yarmok Sanaa (Yemen),Al Sholaa Aden (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Shabab,Al Telal Aden,2005-02-03,0,1,F,yemen,Al Shabab (Yemen),Al Telal Aden (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Shabbab Al Jeel Hudayda,Shab Hadramawt,2005-02-03,0,0,F,yemen,Shabbab Al Jeel Hudayda (Yemen),Shab Hadramawt (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Helal Al Sahely Hudayda,May 22 Sanaa,2005-02-04,3,1,F,yemen,Al Helal Al Sahely Hudayda (Yemen),May 22 Sanaa (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Wahda Sanaa,Shaab Ibb,2005-02-04,0,4,F,yemen,Al Wahda Sanaa (Yemen),Shaab Ibb (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Ahli Sanaa,Al Ittihad Ibb,2005-02-10,2,1,F,yemen,Al Ahli Sanaa (Yemen),Al Ittihad Ibb (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Shab Sanaa,Al Sholaa Aden,2005-02-11,0,0,F,yemen,Shab Sanaa (Yemen),Al Sholaa Aden (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Telal Aden,Al Saqr,2005-02-11,4,3,F,yemen,Al Telal Aden (Yemen),Al Saqr (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Shab Hadramawt,Al Yarmok Sanaa,2005-02-11,0,1,F,yemen,Shab Hadramawt (Yemen),Al Yarmok Sanaa (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Shaab Ibb,Al Shabab,2005-02-11,3,1,F,yemen,Shaab Ibb (Yemen),Al Shabab (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
May 22 Sanaa,Shabbab Al Jeel Hudayda,2005-02-12,2,2,F,yemen,May 22 Sanaa (Yemen),Shabbab Al Jeel Hudayda (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Wahda Sanaa,Al Helal Al Sahely Hudayda,2005-02-13,3,3,F,yemen,Al Wahda Sanaa (Yemen),Al Helal Al Sahely Hudayda (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Ahli Sanaa,Al Telal Aden,2005-02-17,0,1,F,yemen,Al Ahli Sanaa (Yemen),Al Telal Aden (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Shab Hadramawt,Shab Sanaa,2005-02-17,4,1,F,yemen,Shab Hadramawt (Yemen),Shab Sanaa (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Saqr,Shaab Ibb,2005-02-17,0,0,F,yemen,Al Saqr (Yemen),Shaab Ibb (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Helal Al Sahely Hudayda,Al Shabab,2005-02-17,4,0,F,yemen,Al Helal Al Sahely Hudayda (Yemen),Al Shabab (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Sholaa Aden,Al Ittihad Ibb,2005-02-18,3,0,F,yemen,Al Sholaa Aden (Yemen),Al Ittihad Ibb (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Yarmok Sanaa,May 22 Sanaa,2005-02-18,0,1,F,yemen,Al Yarmok Sanaa (Yemen),May 22 Sanaa (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Shabbab Al Jeel Hudayda,Al Wahda Sanaa,2005-02-18,2,1,F,yemen,Shabbab Al Jeel Hudayda (Yemen),Al Wahda Sanaa (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Ittihad Ibb,Al Telal Aden,2005-02-24,2,3,F,yemen,Al Ittihad Ibb (Yemen),Al Telal Aden (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Sholaa Aden,Shab Hadramawt,2005-02-24,3,0,F,yemen,Al Sholaa Aden (Yemen),Shab Hadramawt (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Shab Sanaa,May 22 Sanaa,2005-02-24,0,2,F,yemen,Shab Sanaa (Yemen),May 22 Sanaa (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Helal Al Sahely Hudayda,Al Saqr,2005-02-24,1,3,F,yemen,Al Helal Al Sahely Hudayda (Yemen),Al Saqr (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Shaab Ibb,Al Ahli Sanaa,2005-02-25,0,0,F,yemen,Shaab Ibb (Yemen),Al Ahli Sanaa (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Wahda Sanaa,Al Yarmok Sanaa,2005-02-25,2,1,F,yemen,Al Wahda Sanaa (Yemen),Al Yarmok Sanaa (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Shabab,Shabbab Al Jeel Hudayda,2005-02-25,0,1,F,yemen,Al Shabab (Yemen),Shabbab Al Jeel Hudayda (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Shab Hadramawt,Al Ittihad Ibb,2005-03-03,3,1,F,yemen,Shab Hadramawt (Yemen),Al Ittihad Ibb (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Telal Aden,Shaab Ibb,2005-03-03,2,1,F,yemen,Al Telal Aden (Yemen),Shaab Ibb (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
May 22 Sanaa,Al Sholaa Aden,2005-03-03,2,2,F,yemen,May 22 Sanaa (Yemen),Al Sholaa Aden (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
Al Ahli Sanaa,Al Helal Al Sahely Hudayda,2005-03-04,1,1,F,yemen,Al Ahli Sanaa (Yemen),Al Helal Al Sahely Hudayda (Yemen),yemen,yemen,YE,YE,Asia,Asia,Asia,national
