home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Ofk Beograd,Buducnost Banovici,1950-03-05,4,1,F,yugoslavia,Ofk Beograd (Serbia),Buducnost Banovici (Bosnia Herzegovina),serbia,bosnia-herzegovina,YUG,YUG,Europe,Europe,Europe,national
Dinamo Zagreb,Partizan,1950-03-05,2,1,F,yugoslavia,Dinamo Zagreb (Croatia),Partizan (Serbia),croatia,serbia,YUG,YUG,Europe,Europe,Europe,national
FK Zemun,FK Sarajevo,1950-03-05,3,0,F,yugoslavia,FK Zemun (Serbia),FK Sarajevo (Bosnia Herzegovina),serbia,bosnia-herzegovina,YUG,YUG,Europe,Europe,Europe,national
Red Star Belgrade,Lokomotiva Zagreb,1950-03-05,1,0,F,yugoslavia,Red Star Belgrade (Serbia),Lokomotiva Zagreb (Croatia),serbia,croatia,YUG,YUG,Europe,Europe,Europe,national
Spartak Subotica,Hajduk Split,1950-03-05,0,1,F,yugoslavia,Spartak Subotica (Serbia),Hajduk Split (Croatia),serbia,croatia,YUG,YUG,Europe,Europe,Europe,national
Buducnost Banovici,Spartak Subotica,1950-03-12,2,0,F,yugoslavia,Buducnost Banovici (Bosnia Herzegovina),Spartak Subotica (Serbia),bosnia-herzegovina,serbia,YUG,YUG,Europe,Europe,Europe,national
Lokomotiva Zagreb,Hajduk Split,1950-03-12,0,1,F,yugoslavia,Lokomotiva Zagreb (Croatia),Hajduk Split (Croatia),croatia,croatia,YUG,YUG,Europe,Europe,Europe,national
FK Sarajevo,Red Star Belgrade,1950-03-12,0,2,F,yugoslavia,FK Sarajevo (Bosnia Herzegovina),Red Star Belgrade (Serbia),bosnia-herzegovina,serbia,YUG,YUG,Europe,Europe,Europe,national
Partizan,FK Zemun,1950-03-12,2,1,F,yugoslavia,Partizan (Serbia),FK Zemun (Serbia),serbia,serbia,YUG,YUG,Europe,Europe,Europe,national
Ofk Beograd,Dinamo Zagreb,1950-03-12,0,2,F,yugoslavia,Ofk Beograd (Serbia),Dinamo Zagreb (Croatia),serbia,croatia,YUG,YUG,Europe,Europe,Europe,national
Dinamo Zagreb,Buducnost Banovici,1950-03-19,2,0,F,yugoslavia,Dinamo Zagreb (Croatia),Buducnost Banovici (Bosnia Herzegovina),croatia,bosnia-herzegovina,YUG,YUG,Europe,Europe,Europe,national
FK Zemun,Ofk Beograd,1950-03-19,2,3,F,yugoslavia,FK Zemun (Serbia),Ofk Beograd (Serbia),serbia,serbia,YUG,YUG,Europe,Europe,Europe,national
Red Star Belgrade,Partizan,1950-03-19,3,1,F,yugoslavia,Red Star Belgrade (Serbia),Partizan (Serbia),serbia,serbia,YUG,YUG,Europe,Europe,Europe,national
FK Sarajevo,Hajduk Split,1950-03-19,1,1,F,yugoslavia,FK Sarajevo (Bosnia Herzegovina),Hajduk Split (Croatia),bosnia-herzegovina,croatia,YUG,YUG,Europe,Europe,Europe,national
