home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Power Dynamos,Nchanga Rangers,2006-03-18,1,0,F,zambia,Power Dynamos (Zambia),Nchanga Rangers (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Konkola Blades,Kitwe United,2006-03-18,1,0,F,zambia,Konkola Blades (Zambia),Kitwe United (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Chambishi,Kabwe Warriors,2006-03-18,1,2,F,zambia,Chambishi (Zambia),Kabwe Warriors (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nakambala Leopards,Red Arrows,2006-03-19,3,1,F,zambia,Nakambala Leopards (Zambia),Red Arrows (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
National Assembly,Green Buffaloes,2006-03-19,2,0,F,zambia,National Assembly (Zambia),Green Buffaloes (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Lusaka Celtic,Forest Rangers,2006-03-19,0,1,F,zambia,Lusaka Celtic (Zambia),Forest Rangers (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Zanaco FC,Lusaka Dynamos,2006-03-22,7,1,F,zambia,Zanaco FC (Zambia),Lusaka Dynamos (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Zesco United,Nkwazi,2006-03-22,1,1,F,zambia,Zesco United (Zambia),Nkwazi (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Lusaka Dynamos,Konkola Blades,2006-03-25,1,1,F,zambia,Lusaka Dynamos (Zambia),Konkola Blades (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Red Arrows,Power Dynamos,2006-03-25,3,4,F,zambia,Red Arrows (Zambia),Power Dynamos (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Kabwe Warriors,Lusaka Celtic,2006-03-25,2,1,F,zambia,Kabwe Warriors (Zambia),Lusaka Celtic (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nkwazi,Chambishi,2006-03-25,1,0,F,zambia,Nkwazi (Zambia),Chambishi (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Kitwe United,National Assembly,2006-03-26,0,3,F,zambia,Kitwe United (Zambia),National Assembly (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Forest Rangers,Nakambala Leopards,2006-03-26,1,0,F,zambia,Forest Rangers (Zambia),Nakambala Leopards (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nchanga Rangers,Red Arrows,2006-04-01,1,0,F,zambia,Nchanga Rangers (Zambia),Red Arrows (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
National Assembly,Lusaka Dynamos,2006-04-01,3,0,F,zambia,National Assembly (Zambia),Lusaka Dynamos (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Power Dynamos,Forest Rangers,2006-04-01,0,0,F,zambia,Power Dynamos (Zambia),Forest Rangers (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nakambala Leopards,Kabwe Warriors,2006-04-01,0,3,F,zambia,Nakambala Leopards (Zambia),Kabwe Warriors (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Chambishi,Green Buffaloes,2006-04-01,0,2,F,zambia,Chambishi (Zambia),Green Buffaloes (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Lusaka Celtic,Nkwazi,2006-04-01,1,0,F,zambia,Lusaka Celtic (Zambia),Nkwazi (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Red Arrows,Zanaco FC,2006-04-08,2,3,F,zambia,Red Arrows (Zambia),Zanaco FC (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Konkola Blades,National Assembly,2006-04-08,3,0,F,zambia,Konkola Blades (Zambia),National Assembly (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Forest Rangers,Nchanga Rangers,2006-04-08,1,1,F,zambia,Forest Rangers (Zambia),Nchanga Rangers (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Lusaka Dynamos,Zesco United,2006-04-08,0,1,F,zambia,Lusaka Dynamos (Zambia),Zesco United (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Kabwe Warriors,Power Dynamos,2006-04-08,1,1,F,zambia,Kabwe Warriors (Zambia),Power Dynamos (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Kitwe United,Chambishi,2006-04-08,1,0,F,zambia,Kitwe United (Zambia),Chambishi (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nkwazi,Nakambala Leopards,2006-04-08,3,2,F,zambia,Nkwazi (Zambia),Nakambala Leopards (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Green Buffaloes,Lusaka Celtic,2006-04-08,3,1,F,zambia,Green Buffaloes (Zambia),Lusaka Celtic (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Zanaco FC,National Assembly,2006-04-14,2,1,F,zambia,Zanaco FC (Zambia),National Assembly (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Zesco United,Konkola Blades,2006-04-14,1,1,F,zambia,Zesco United (Zambia),Konkola Blades (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nchanga Rangers,Kabwe Warriors,2006-04-14,0,0,F,zambia,Nchanga Rangers (Zambia),Kabwe Warriors (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nakambala Leopards,Green Buffaloes,2006-04-14,1,0,F,zambia,Nakambala Leopards (Zambia),Green Buffaloes (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Red Arrows,Forest Rangers,2006-04-15,4,0,F,zambia,Red Arrows (Zambia),Forest Rangers (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Chambishi,Lusaka Dynamos,2006-04-15,0,3,F,zambia,Chambishi (Zambia),Lusaka Dynamos (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Power Dynamos,Nkwazi,2006-04-15,4,2,F,zambia,Power Dynamos (Zambia),Nkwazi (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Lusaka Celtic,Kitwe United,2006-04-15,1,1,F,zambia,Lusaka Celtic (Zambia),Kitwe United (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nchanga Rangers,Zanaco FC,2006-04-16,0,2,F,zambia,Nchanga Rangers (Zambia),Zanaco FC (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Green Buffaloes,Zesco United,2006-04-16,2,1,F,zambia,Green Buffaloes (Zambia),Zesco United (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Forest Rangers,Zanaco FC,2006-04-22,0,0,F,zambia,Forest Rangers (Zambia),Zanaco FC (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
National Assembly,Zesco United,2006-04-22,2,2,F,zambia,National Assembly (Zambia),Zesco United (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Kabwe Warriors,Red Arrows,2006-04-22,1,1,F,zambia,Kabwe Warriors (Zambia),Red Arrows (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Konkola Blades,Chambishi,2006-04-22,2,0,F,zambia,Konkola Blades (Zambia),Chambishi (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nkwazi,Nchanga Rangers,2006-04-22,2,2,F,zambia,Nkwazi (Zambia),Nchanga Rangers (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Lusaka Dynamos,Lusaka Celtic,2006-04-22,4,0,F,zambia,Lusaka Dynamos (Zambia),Lusaka Celtic (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Green Buffaloes,Power Dynamos,2006-04-22,2,1,F,zambia,Green Buffaloes (Zambia),Power Dynamos (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Kitwe United,Nakambala Leopards,2006-04-22,0,0,F,zambia,Kitwe United (Zambia),Nakambala Leopards (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Zanaco FC,Zesco United,2006-04-29,2,1,F,zambia,Zanaco FC (Zambia),Zesco United (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Forest Rangers,Kabwe Warriors,2006-04-29,1,0,F,zambia,Forest Rangers (Zambia),Kabwe Warriors (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Chambishi,National Assembly,2006-04-29,0,1,F,zambia,Chambishi (Zambia),National Assembly (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Red Arrows,Nkwazi,2006-04-29,4,0,F,zambia,Red Arrows (Zambia),Nkwazi (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Lusaka Celtic,Konkola Blades,2006-04-29,0,1,F,zambia,Lusaka Celtic (Zambia),Konkola Blades (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nchanga Rangers,Green Buffaloes,2006-04-29,0,1,F,zambia,Nchanga Rangers (Zambia),Green Buffaloes (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nakambala Leopards,Lusaka Dynamos,2006-04-29,4,2,F,zambia,Nakambala Leopards (Zambia),Lusaka Dynamos (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Power Dynamos,Kitwe United,2006-04-29,0,0,F,zambia,Power Dynamos (Zambia),Kitwe United (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Zanaco FC,Konkola Blades,2006-05-01,1,0,F,zambia,Zanaco FC (Zambia),Konkola Blades (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Zesco United,Kitwe United,2006-05-01,1,1,F,zambia,Zesco United (Zambia),Kitwe United (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Kabwe Warriors,Zanaco FC,2006-05-06,1,2,F,zambia,Kabwe Warriors (Zambia),Zanaco FC (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Zesco United,Chambishi,2006-05-06,0,1,F,zambia,Zesco United (Zambia),Chambishi (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nkwazi,Forest Rangers,2006-05-06,3,1,F,zambia,Nkwazi (Zambia),Forest Rangers (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
National Assembly,Lusaka Celtic,2006-05-06,1,0,F,zambia,National Assembly (Zambia),Lusaka Celtic (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Green Buffaloes,Red Arrows,2006-05-06,2,0,F,zambia,Green Buffaloes (Zambia),Red Arrows (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Konkola Blades,Nakambala Leopards,2006-05-06,0,1,F,zambia,Konkola Blades (Zambia),Nakambala Leopards (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Kitwe United,Nchanga Rangers,2006-05-06,0,0,F,zambia,Kitwe United (Zambia),Nchanga Rangers (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Lusaka Dynamos,Power Dynamos,2006-05-06,2,3,F,zambia,Lusaka Dynamos (Zambia),Power Dynamos (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Kabwe Warriors,Nkwazi,2006-05-13,1,0,F,zambia,Kabwe Warriors (Zambia),Nkwazi (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Lusaka Celtic,Zesco United,2006-05-13,1,0,F,zambia,Lusaka Celtic (Zambia),Zesco United (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Forest Rangers,Green Buffaloes,2006-05-13,1,0,F,zambia,Forest Rangers (Zambia),Green Buffaloes (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nakambala Leopards,National Assembly,2006-05-13,2,1,F,zambia,Nakambala Leopards (Zambia),National Assembly (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Red Arrows,Kitwe United,2006-05-13,0,1,F,zambia,Red Arrows (Zambia),Kitwe United (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Power Dynamos,Konkola Blades,2006-05-13,1,0,F,zambia,Power Dynamos (Zambia),Konkola Blades (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nchanga Rangers,Lusaka Dynamos,2006-05-13,0,0,F,zambia,Nchanga Rangers (Zambia),Lusaka Dynamos (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Zanaco FC,Chambishi,2006-05-14,1,0,F,zambia,Zanaco FC (Zambia),Chambishi (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Nkwazi,Zanaco FC,2006-05-20,0,0,F,zambia,Nkwazi (Zambia),Zanaco FC (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Chambishi,Lusaka Celtic,2006-05-20,0,0,F,zambia,Chambishi (Zambia),Lusaka Celtic (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Green Buffaloes,Kabwe Warriors,2006-05-20,1,2,F,zambia,Green Buffaloes (Zambia),Kabwe Warriors (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
Zesco United,Nakambala Leopards,2006-05-20,0,0,F,zambia,Zesco United (Zambia),Nakambala Leopards (Zambia),zambia,zambia,ZM,ZM,Africa,Africa,Africa,national
