home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Motor Action,Monomatapa United,2006-03-25,0,3,F,zimbabwe,Motor Action (Zimbabwe),Monomatapa United (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Caps FC,Black Rhinos,2006-03-25,0,1,F,zimbabwe,Caps FC (Zimbabwe),Black Rhinos (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Zimbabwe Saints,Caps United,2006-03-25,0,1,F,zimbabwe,Zimbabwe Saints (Zimbabwe),Caps United (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Dynamos,Shooting Stars,2006-03-25,1,0,F,zimbabwe,Dynamos (Zimbabwe),Shooting Stars (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Lancashire Steel,Railstars,2006-03-25,1,0,F,zimbabwe,Lancashire Steel (Zimbabwe),Railstars (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Chapungu United,Highlanders,2006-03-25,1,2,F,zimbabwe,Chapungu United (Zimbabwe),Highlanders (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Shabanie Mine,Hwange,2006-03-25,1,2,F,zimbabwe,Shabanie Mine (Zimbabwe),Hwange (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Mwana Africa,Masvingo United,2006-03-25,0,1,F,zimbabwe,Mwana Africa (Zimbabwe),Masvingo United (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Monomatapa United,Zimbabwe Saints,2006-04-01,2,1,F,zimbabwe,Monomatapa United (Zimbabwe),Zimbabwe Saints (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Shooting Stars,Lancashire Steel,2006-04-01,0,4,F,zimbabwe,Shooting Stars (Zimbabwe),Lancashire Steel (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Railstars,Chapungu United,2006-04-01,0,4,F,zimbabwe,Railstars (Zimbabwe),Chapungu United (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Hwange,Mwana Africa,2006-04-02,0,1,F,zimbabwe,Hwange (Zimbabwe),Mwana Africa (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Highlanders,Shabanie Mine,2006-04-02,3,0,F,zimbabwe,Highlanders (Zimbabwe),Shabanie Mine (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Black Rhinos,Dynamos,2006-04-02,2,1,F,zimbabwe,Black Rhinos (Zimbabwe),Dynamos (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Caps United,Caps FC,2006-04-02,3,0,F,zimbabwe,Caps United (Zimbabwe),Caps FC (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Masvingo United,Motor Action,2006-04-02,3,1,F,zimbabwe,Masvingo United (Zimbabwe),Motor Action (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Caps FC,Monomatapa United,2006-04-08,0,0,F,zimbabwe,Caps FC (Zimbabwe),Monomatapa United (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Lancashire Steel,Black Rhinos,2006-04-08,2,2,F,zimbabwe,Lancashire Steel (Zimbabwe),Black Rhinos (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Mwana Africa,Highlanders,2006-04-08,1,2,F,zimbabwe,Mwana Africa (Zimbabwe),Highlanders (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Zimbabwe Saints,Motor Action,2006-04-09,0,1,F,zimbabwe,Zimbabwe Saints (Zimbabwe),Motor Action (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Chapungu United,Shooting Stars,2006-04-09,2,1,F,zimbabwe,Chapungu United (Zimbabwe),Shooting Stars (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Shabanie Mine,Railstars,2006-04-09,2,0,F,zimbabwe,Shabanie Mine (Zimbabwe),Railstars (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Hwange,Masvingo United,2006-04-09,2,1,F,zimbabwe,Hwange (Zimbabwe),Masvingo United (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
Dynamos,Caps United,2006-04-09,1,1,F,zimbabwe,Dynamos (Zimbabwe),Caps United (Zimbabwe),zimbabwe,zimbabwe,ZW,ZW,Africa,Africa,Africa,national
